Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-104.12062692685399,98.0,-104.12062692685399,98.0,0.999069
2.0,-85.19053254279112,81.0,-94.65557973482255,179.0,0.9982995
3.0,-327.8691777994263,94.0,-172.39344575635712,273.0,0.9974065
4.0,-74.11957717356698,91.0,-147.8249786106596,364.0,0.996542
5.0,-60.862506900145036,71.0,-130.4324842685567,435.0,0.9958675
6.0,-98.29706513055436,141.0,-125.07658107888965,576.0,0.994528
7.0,-108.98286518706881,126.0,-122.77747880862952,702.0,0.993331
8.0,-62.212738534368654,65.0,-115.20688627434691,767.0,0.9927135
9.0,-164.86365695653922,108.0,-120.72430523903495,875.0,0.9916875
10.0,-137.47664917595299,96.0,-122.39953963272676,971.0,0.9907755
11.0,-218.39657924507327,103.0,-131.12654323384916,1074.0,0.989797
12.0,-104.39646151793676,96.0,-128.8990364241898,1170.0,0.988885
13.0,-224.82644726137198,86.0,-136.27806802704998,1256.0,0.988068
14.0,-142.40445975195482,80.0,-136.71566743597177,1336.0,0.987308
15.0,-293.0248828539083,102.0,-147.13628179716753,1438.0,0.986339
16.0,-67.33905330722912,125.0,-142.14895501654635,1563.0,0.9851515
17.0,-100.6570717745235,124.0,-139.70825600230972,1687.0,0.9839735000000001
18.0,-129.3142622121366,91.0,-139.13081190285567,1778.0,0.983109
19.0,-280.46619427611495,102.0,-146.56951623829036,1880.0,0.98214
20.0,-262.15607606181254,121.0,-152.34884422946647,2001.0,0.9809905
21.0,-85.29492847069464,92.0,-149.1558006219059,2093.0,0.9801165000000001
22.0,-93.50742622457793,70.0,-146.626329058391,2163.0,0.9794515
23.0,-417.9882925237487,102.0,-158.42467529601527,2265.0,0.9784825
24.0,-67.71395066579876,101.0,-154.6450617697562,2366.0,0.977523
25.0,-120.54344804279684,172.0,-153.28099722067785,2538.0,0.975889
26.0,-175.96441580782403,152.0,-154.15343639710653,2690.0,0.974445
27.0,-112.6520469001491,91.0,-152.6163478972192,2781.0,0.9735805
28.0,-185.43169630314432,99.0,-153.78832462600226,2880.0,0.97264
29.0,-196.0096255856507,109.0,-155.24423155564529,2989.0,0.9716045
30.0,-162.83368027875227,107.0,-155.49721317974888,3096.0,0.970588
31.0,-355.6232944548862,91.0,-161.95289322088234,3187.0,0.9697235
32.0,-85.90727747816305,69.0,-159.57646772892235,3256.0,0.969068
33.0,-54.89296238110895,126.0,-156.40424029414012,3382.0,0.967871
34.0,-210.2042287295104,97.0,-157.98659289518045,3479.0,0.9669495
35.0,-343.33613192738017,94.0,-163.28229401038615,3573.0,0.9660565
36.0,-44.686306991784555,67.0,-159.9879610376472,3640.0,0.9654200000000001
37.0,-223.0172230648825,98.0,-161.69145460595087,3738.0,0.964489
38.0,-288.26676503547003,123.0,-165.02238382778032,3861.0,0.9633205
39.0,-4.25990202779964,94.0,-160.90026890983208,3955.0,0.9624275
40.0,-245.9748077570824,107.0,-163.02713238101336,4062.0,0.961411
41.0,-180.06311448520006,115.0,-163.4426441396521,4177.0,0.9603185
42.0,-180.00875857703403,117.0,-163.83707543578024,4294.0,0.959207
43.0,-90.90046156319897,91.0,-162.14087511316208,4385.0,0.9583425
44.0,-223.04460096231006,118.0,-163.5250507006427,4503.0,0.9572215
45.0,-154.19750679346978,95.0,-163.31777194715,4598.0,0.956319
46.0,-113.56095985751165,87.0,-162.23610211911438,4685.0,0.9554925
47.0,-165.92982420348324,68.0,-162.31469195069667,4753.0,0.9548465
48.0,-119.98227177707287,111.0,-161.4327665304128,4864.0,0.953792
49.0,-64.85308390817946,170.0,-159.46175259934682,5034.0,0.952177
50.0,-404.9708869825777,107.0,-164.37193528701144,5141.0,0.9511605
51.0,-191.27555747816018,154.0,-164.89945729075944,5295.0,0.9496975
52.0,-261.44776654968973,79.0,-166.7561555457389,5374.0,0.948947
53.0,-211.86547264652353,97.0,-167.60727473631974,5471.0,0.9480255
54.0,-82.02669195466886,80.0,-166.02244912925212,5551.0,0.9472655
55.0,-53.86744415136822,78.0,-163.98326722056333,5629.0,0.9465245
56.0,-122.12980273395675,99.0,-163.23588392615966,5728.0,0.945584
57.0,-38.94098276702446,79.0,-161.0552716251222,5807.0,0.9448335
58.0,-99.14658936576487,159.0,-159.98788055168498,5966.0,0.943323
59.0,-80.41093966329353,94.0,-158.63911884171225,6060.0,0.94243
60.0,-137.6738357690129,112.0,-158.28969745716728,6172.0,0.941366
61.0,-301.84650277583387,135.0,-160.64308770829297,6307.0,0.9400835
62.0,-177.41246949520144,105.0,-160.9135616080818,6412.0,0.939086
63.0,-107.89407870726767,78.0,-160.0719825144181,6490.0,0.938345
64.0,-242.48423808495585,134.0,-161.3596740077077,6624.0,0.937072
65.0,-215.72091659546587,99.0,-162.19600081675014,6723.0,0.9361315
66.0,-153.93405114474,117.0,-162.07081976111363,6840.0,0.93502
67.0,-170.80092701562154,151.0,-162.20111986938988,6991.0,0.9335855
68.0,-70.88754276106792,68.0,-160.85827314720865,7059.0,0.9329395
69.0,-326.17130090539274,119.0,-163.25411412921133,7178.0,0.931809
70.0,-120.27187634558206,81.0,-162.64008216087376,7259.0,0.9310395
71.0,-18.62016790352007,151.0,-160.6116326642913,7410.0,0.929605
72.0,-155.04238162060784,82.0,-160.53428195535128,7492.0,0.928826
73.0,-131.10790299017938,103.0,-160.1311808736366,7595.0,0.9278475
74.0,-248.24368130056638,73.0,-161.3218903388654,7668.0,0.927154
75.0,-127.59060732688589,104.0,-160.87213989870565,7772.0,0.926166
76.0,-187.4273279944796,106.0,-161.22155026838686,7878.0,0.9251590000000001
77.0,-172.70292571808125,91.0,-161.37065904046085,7969.0,0.9242945
78.0,-358.72273722590774,126.0,-163.90081388899222,8095.0,0.9230975
79.0,-40.687786789398324,75.0,-162.34115531811128,8170.0,0.922385
80.0,-67.0531428356348,72.0,-161.1500551620803,8242.0,0.921701
81.0,-80.73997958478179,91.0,-160.1573381796445,8333.0,0.9208365000000001
82.0,-86.08863040709674,156.0,-159.25406125558905,8489.0,0.9193545
83.0,-94.76618801079908,95.0,-158.47709892733857,8584.0,0.918452
84.0,-127.50835682134414,112.0,-158.10842342607674,8696.0,0.917388
85.0,-146.92106045115554,82.0,-157.97680739107767,8778.0,0.916609
86.0,-240.79645498386517,102.0,-158.93982654913333,8880.0,0.91564
87.0,-270.1714457084298,126.0,-160.21835090728615,9006.0,0.914443
88.0,-92.77327361778971,81.0,-159.451929574451,9087.0,0.9136735
89.0,-81.45735877238533,119.0,-158.57558608229297,9206.0,0.912543
90.0,-262.46804308121614,114.0,-159.72994671561435,9320.0,0.91146
91.0,-103.71157688149712,103.0,-159.11436023392073,9423.0,0.9104815
92.0,-98.12736254047948,129.0,-158.45145808507897,9552.0,0.9092560000000001
93.0,-79.89556708633587,155.0,-157.6067710850925,9707.0,0.9077835
94.0,-32.867996467384046,85.0,-156.2797628444786,9792.0,0.906976
95.0,-107.80472633166296,167.0,-155.76949930223842,9959.0,0.9053895000000001
96.0,-187.04045328910033,88.0,-156.0952384062682,10047.0,0.9045535
97.0,-486.41588740565396,103.0,-159.5006059217258,10150.0,0.903575
98.0,-164.54726932936893,84.0,-159.5521024871099,10234.0,0.902777
99.0,-122.82673928705591,100.0,-159.1811392224629,10334.0,0.901827
100.0,-401.3246752928706,146.0,-161.60257458316698,10480.0,0.90044
101.0,-28.344666133180553,95.0,-160.84481497523024,10575.0,0.8995375
102.0,-108.83199215210057,89.0,-161.08122957132332,10664.0,0.898692
103.0,-74.91035319053978,166.0,-158.55164132523444,10830.0,0.897115
104.0,-143.52655953104738,108.0,-159.24571114880925,10938.0,0.896089
105.0,-41.557619368571174,76.0,-159.05266227349355,11014.0,0.895367
106.0,-265.1478307048935,139.0,-160.72116992923694,11153.0,0.8940465
107.0,-14.861743662984964,137.0,-159.77995871399608,11290.0,0.892745
108.0,-185.77309101025963,132.0,-161.015562238755,11422.0,0.891491
109.0,-96.30477053286718,148.0,-160.32997337451826,11570.0,0.890085
110.0,-98.55163503427016,138.0,-159.94072323310144,11708.0,0.888774
111.0,-251.4236313688513,90.0,-160.27099375433923,11798.0,0.887919
112.0,-62.211899577013384,101.0,-159.84914813492998,11899.0,0.8869595
113.0,-53.82907506372635,169.0,-158.13917441295354,12068.0,0.885354
114.0,-71.43721694423428,68.0,-157.42950198487634,12136.0,0.884708
115.0,-68.09147919912463,89.0,-155.18016794832852,12225.0,0.8838625
116.0,-65.48470123162951,160.0,-155.16162442757252,12385.0,0.8823425
117.0,-277.30500951971806,100.0,-156.92810380502445,12485.0,0.8813925
118.0,-10.313084489671951,82.0,-155.7380920277998,12567.0,0.8806135
119.0,-51.491784402321336,83.0,-153.44834792906187,12650.0,0.879825
120.0,-249.17780368520863,139.0,-153.31856520529584,12789.0,0.8785045
121.0,-140.77500536539807,116.0,-153.87336597424286,12905.0,0.8774025
122.0,-100.07435477699852,107.0,-153.93903525976708,13012.0,0.876386
123.0,-106.05131177924603,115.0,-150.81966545232203,13127.0,0.8752935000000001
124.0,-58.65569003066819,78.0,-150.7290828459707,13205.0,0.8745525000000001
125.0,-144.23952074270426,147.0,-150.9660435729698,13352.0,0.873156
126.0,-80.51835890998771,93.0,-150.0115830039914,13445.0,0.8722725
127.0,-29.854107879222497,147.0,-149.18360361378217,13592.0,0.870876
128.0,-262.44031533767327,153.0,-149.95368980412746,13745.0,0.8694225
129.0,-48.76004964788373,68.0,-148.4811940447498,13813.0,0.8687765000000001
130.0,-100.76407480797756,163.0,-147.86049799004206,13976.0,0.867228
131.0,-94.66142447705329,106.0,-145.25087929026375,14082.0,0.866221
132.0,-135.8192135143728,81.0,-145.74999865062583,14163.0,0.8654515
133.0,-18.419468568769545,117.0,-145.38526371250242,14280.0,0.86434
134.0,-98.4871321866977,152.0,-144.2680927470743,14432.0,0.862896
135.0,-39.43976097452308,162.0,-141.2291290375457,14594.0,0.861357
136.0,-9.654433583749693,157.0,-140.87881030346537,14751.0,0.8598655
137.0,-79.57177100233356,93.0,-139.4443557828399,14844.0,0.858982
138.0,-79.34142604525053,75.0,-137.35510239293768,14919.0,0.8582695
139.0,-44.04983433930324,120.0,-137.75300171605272,15039.0,0.8571295
140.0,-104.97633210850213,141.0,-136.3430169595669,15180.0,0.85579
141.0,2.609077119869127,86.0,-134.51629504351624,15266.0,0.854973
142.0,-28.147975641268786,88.0,-132.9976872141586,15354.0,0.854137
143.0,-48.878183942598305,125.0,-132.5774644379526,15479.0,0.8529495
144.0,-28.706300278429836,152.0,-130.6340814311138,15631.0,0.8515055
145.0,-66.75232688241543,167.0,-129.75962963200325,15798.0,0.849919
146.0,-80.4257267779349,76.0,-129.42827730120752,15874.0,0.849197
