Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-449.8370650624734,105.0,-449.8370650624734,105.0,0.9990025
2.0,-108.80630407533276,154.0,-279.3216845689031,259.0,0.9975395
3.0,-506.2070416529598,147.0,-354.9501369302554,406.0,0.996143
4.0,-105.47194000082246,91.0,-292.58058769789716,497.0,0.9952785
5.0,-318.9818991020084,92.0,-297.8608499787194,589.0,0.9944045
6.0,-248.7978693944311,120.0,-289.6836865480047,709.0,0.9932645
7.0,-121.94559488197302,109.0,-265.72110202428587,818.0,0.992229
8.0,-100.87335263067712,149.0,-245.11513335008476,967.0,0.9908135
9.0,-290.60517427101956,84.0,-250.16958234129976,1051.0,0.9900155
10.0,-69.4113518457447,132.0,-232.09375929174425,1183.0,0.9887615
11.0,-110.77506462156322,137.0,-221.06478704900053,1320.0,0.98746
12.0,-238.08739149376353,114.0,-222.48333741939743,1434.0,0.986377
13.0,-92.79923321723487,63.0,-212.50763709615416,1497.0,0.9857785
14.0,-167.10035735271958,83.0,-209.2642599716231,1580.0,0.98499
15.0,-91.66700021434312,85.0,-201.4244426544711,1665.0,0.9841825
16.0,-124.8031267939198,124.0,-196.63561041318667,1789.0,0.9830045000000001
17.0,-79.14181044809482,135.0,-189.7242104152401,1924.0,0.981722
18.0,28.60152357634638,86.0,-177.59500297126306,2010.0,0.980905
19.0,-126.82143173090378,150.0,-174.92270974808625,2160.0,0.97948
20.0,-169.17807575146833,144.0,-174.63547804825538,2304.0,0.978112
21.0,-83.77983276455983,83.0,-170.30901874903176,2387.0,0.9773235
22.0,81.87312632978741,500.0,-158.8461939727218,2887.0,0.9725735
23.0,-165.3454815491655,93.0,-159.12877169343673,2980.0,0.97169
24.0,-110.74149375157842,123.0,-157.11263511252596,3103.0,0.9705215
25.0,-226.44053206963943,79.0,-159.88575099081052,3182.0,0.969771
26.0,-235.53794462260677,163.0,-162.7954507458796,3345.0,0.9682225
27.0,-301.15353035771943,89.0,-167.91982406483663,3434.0,0.967377
28.0,-60.87847187733777,71.0,-164.09691862956882,3505.0,0.9667025
29.0,-115.33399174419672,105.0,-162.4154383921422,3610.0,0.965705
30.0,-222.90538890828998,93.0,-164.43177007601378,3703.0,0.9648215
31.0,-335.16297582704317,78.0,-169.93922832604696,3781.0,0.9640805
32.0,-199.31516265255448,87.0,-170.85722627375034,3868.0,0.963254
33.0,-284.8452582323372,104.0,-174.3114090603742,3972.0,0.962266
34.0,-165.25469994706,155.0,-174.04503526292376,4127.0,0.9607935
35.0,-181.42890835093468,106.0,-174.25600306543836,4233.0,0.9597865
36.0,-387.9123988203038,105.0,-180.19090294751794,4338.0,0.958789
37.0,-97.99413997784708,109.0,-177.96936881320252,4447.0,0.9577535
38.0,-164.58370079681862,73.0,-177.61711439171873,4520.0,0.95706
39.0,-102.75185974504927,162.0,-175.69749247770156,4682.0,0.955521
40.0,-90.19083223913178,90.0,-173.55982597173735,4772.0,0.954666
41.0,-163.6232322877394,150.0,-173.31747002822522,4922.0,0.953241
