Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-284.32694297379277,91.0,-284.32694297379277,91.0,0.9991355
2.0,-194.0333185090568,85.0,-239.1801307414248,176.0,0.998328
3.0,-85.25703944126774,79.0,-187.87243364137245,255.0,0.9975775
4.0,-326.7240024327726,122.0,-222.5853258392225,377.0,0.9964185
5.0,-324.0875495210299,98.0,-242.88577057558396,475.0,0.9954875
6.0,-345.6506345008034,93.0,-260.01324789645383,568.0,0.994604
7.0,-265.5713941945629,97.0,-260.8072687961837,665.0,0.9936825
8.0,-155.96644196053967,95.0,-247.70216544172825,760.0,0.99278
9.0,-275.7533687013717,175.0,-250.81896580391083,935.0,0.9911175
10.0,-62.34978675132172,104.0,-231.9720478986519,1039.0,0.9901295
11.0,-139.5213462638328,101.0,-223.56743865912293,1140.0,0.98917
12.0,-167.76312421079334,141.0,-218.9170791217621,1281.0,0.9878305000000001
13.0,-351.90189553895664,98.0,-229.1466803846232,1379.0,0.9868995
14.0,-38.73462864099289,72.0,-215.54581954579248,1451.0,0.9862155
15.0,-123.99643840565956,101.0,-209.44252746978364,1552.0,0.985256
16.0,-316.8441928236572,105.0,-216.15513155440073,1657.0,0.9842585
17.0,-213.96898609378584,68.0,-216.02653476259985,1725.0,0.9836125
18.0,-246.6835145674373,105.0,-217.72970030731304,1830.0,0.982615
19.0,-86.63601795126411,115.0,-210.83003281488942,1945.0,0.9815225
20.0,-138.5431616599966,187.0,-207.2156892571448,2132.0,0.979746
21.0,-33.72216421300132,82.0,-198.95409282647128,2214.0,0.978967
22.0,-119.8156512001697,91.0,-195.35689093436667,2305.0,0.9781025
23.0,-98.74599592384364,90.0,-191.156417238257,2395.0,0.9772475
24.0,-320.98399285138845,93.0,-196.5658995554708,2488.0,0.976364
25.0,-262.48579198551533,90.0,-199.20269525267256,2578.0,0.975509
26.0,-11.365678600174917,155.0,-191.97819461219188,2733.0,0.9740365
27.0,-129.48931155691062,98.0,-189.66379153607033,2831.0,0.9731055
28.0,-260.8200273919182,100.0,-192.2050856737792,2931.0,0.9721555
29.0,-305.8097769575777,89.0,-196.1224888214964,3020.0,0.97131
30.0,-107.93558123667772,68.0,-193.18292523533577,3088.0,0.970664
31.0,-46.98903196432845,95.0,-188.46699319433552,3183.0,0.9697615
32.0,-165.5588897718158,127.0,-187.7511149623818,3310.0,0.968555
33.0,-161.05181356201652,109.0,-186.9420452229768,3419.0,0.9675195
34.0,-104.40804038404458,80.0,-184.51457449241997,3499.0,0.9667595
35.0,-115.14105671982107,97.0,-182.53247398463142,3596.0,0.965838
36.0,-332.8310572837304,176.0,-186.70743463182862,3772.0,0.964166
37.0,-278.8092777440834,109.0,-189.19667363486252,3881.0,0.9631305
38.0,-243.86442615639095,93.0,-190.63529870121855,3974.0,0.962247
39.0,-64.0000444753305,162.0,-187.38824090055476,4136.0,0.960708
40.0,-96.2795520470352,130.0,-185.11052367921675,4266.0,0.959473
41.0,11.8721593752405,75.0,-180.3060679949617,4341.0,0.9587605
42.0,-55.601712761797145,71.0,-177.33691667988634,4412.0,0.958086
43.0,-207.18579797454933,94.0,-178.03107670999478,4506.0,0.957193
44.0,-90.52621453194148,94.0,-176.04232984231174,4600.0,0.9563
45.0,-307.819013098707,92.0,-178.97070058134275,4692.0,0.955426
46.0,-61.91760717869427,71.0,-176.42606811606777,4763.0,0.9547515
47.0,-182.47608380795393,112.0,-176.554791854193,4875.0,0.9536875
48.0,-117.93458999834156,92.0,-175.3335376488628,4967.0,0.9528135
49.0,-140.40264906830865,160.0,-174.62066237170862,5127.0,0.9512935
50.0,-75.95184409820548,67.0,-172.64728600623855,5194.0,0.950657
51.0,-308.155365346352,142.0,-175.30430716977017,5336.0,0.949308
52.0,-67.99846459920383,95.0,-173.2407332741824,5431.0,0.9484055
53.0,-279.67597569649104,126.0,-175.24894539535802,5557.0,0.9472085
54.0,-283.0183613513014,161.0,-177.24467532046808,5718.0,0.945679
55.0,-349.37212884836975,137.0,-180.37426538461176,5855.0,0.9443775
56.0,-317.99375157669584,136.0,-182.83175620947037,5991.0,0.9430855
57.0,-150.91958339678933,86.0,-182.27189352854614,6077.0,0.9422685
58.0,-77.36433348795579,72.0,-180.46314249336356,6149.0,0.9415845
59.0,-53.045342320003314,81.0,-178.3035187616117,6230.0,0.940815
60.0,-76.52764907901064,79.0,-176.6072542669017,6309.0,0.9400645
61.0,-249.7992318045041,157.0,-177.80712275112467,6466.0,0.938573
62.0,-263.5542316839711,91.0,-179.1901406371383,6557.0,0.9377085000000001
63.0,-376.38224908195895,90.0,-182.3201741045164,6647.0,0.9368535
64.0,-80.28588237171816,157.0,-180.72588829619144,6804.0,0.935362
65.0,-99.2571016590705,83.0,-179.47252234792805,6887.0,0.9345735
66.0,-76.08278161319912,116.0,-177.90601112467456,7003.0,0.9334715
67.0,-172.81374519380637,130.0,-177.83000715555713,7133.0,0.9322365
68.0,-178.52100281422872,122.0,-177.84016885641992,7255.0,0.9310775
69.0,-46.71925309641331,76.0,-175.9398657294633,7331.0,0.9303555
70.0,-219.22231624761358,92.0,-176.55818645115116,7423.0,0.9294815
71.0,-73.10824351817585,90.0,-175.10114500139093,7513.0,0.9286265
72.0,-126.6794875908165,102.0,-174.4286219817997,7615.0,0.9276575
73.0,-65.09028445579607,104.0,-172.93083653623802,7719.0,0.9266695
74.0,101.7723441227621,500.0,-169.21863139219747,8219.0,0.9219195
75.0,-76.97646165742319,76.0,-167.98873579573382,8295.0,0.9211975
76.0,-53.08924280309131,76.0,-166.4769003616201,8371.0,0.9204755
77.0,-222.6436321364681,138.0,-167.20633843661813,8509.0,0.9191645
78.0,-83.65829493909729,133.0,-166.1352096738294,8642.0,0.917901
79.0,-69.06865479879109,169.0,-164.90651910579095,8811.0,0.9162955
80.0,-93.71078735858481,105.0,-164.01657245895086,8916.0,0.9152980000000001
81.0,-103.24603212949243,79.0,-163.26631887463657,8995.0,0.9145475000000001
82.0,-35.174411857095464,77.0,-161.70422244759337,9072.0,0.913816
83.0,-82.64132375648592,131.0,-160.7516574031222,9203.0,0.9125715
84.0,-35.76073634847876,95.0,-159.26367024770977,9298.0,0.9116690000000001
85.0,-285.19287363310383,124.0,-160.74519028753795,9422.0,0.910491
86.0,-53.387083991351844,144.0,-159.49684021432648,9566.0,0.909123
87.0,-71.74216139235398,144.0,-158.48816574510843,9710.0,0.907755
88.0,-127.5867074710997,136.0,-158.1370128101765,9846.0,0.906463
89.0,-309.4230853808981,118.0,-159.83685632220707,9964.0,0.905342
90.0,-50.206564306830145,158.0,-158.61874196648068,10122.0,0.903841
91.0,-39.55638927204512,76.0,-157.31036446434402,10198.0,0.903119
92.0,-52.53627820167295,143.0,-156.17151570061932,10341.0,0.9017605
93.0,-71.79956085571098,159.0,-155.26429037970632,10500.0,0.90025
94.0,-48.03123268562865,134.0,-154.12351317019488,10634.0,0.898977
95.0,-175.49402566481976,133.0,-154.3484659332962,10767.0,0.8977135
96.0,-93.69245469152446,127.0,-153.71663248286103,10894.0,0.896507
97.0,-88.6846229101289,86.0,-153.04619939448233,10980.0,0.89569
98.0,-79.92075877487628,81.0,-152.30002142897615,11061.0,0.8949205
99.0,-93.1163815537349,145.0,-151.70220688478182,11206.0,0.893543
100.0,-42.183861956745815,85.0,-150.60702343550145,11291.0,0.8927355
101.0,-90.9704830272211,113.0,-148.67345883603576,11404.0,0.891662
102.0,-86.40018181085773,74.0,-147.59712746905373,11478.0,0.8909590000000001
103.0,-199.50032169831553,124.0,-148.73956029162423,11602.0,0.889781
104.0,-16.15258226619312,75.0,-145.6338460899584,11677.0,0.8890685
105.0,-17.632254243028697,152.0,-142.56929313717842,11829.0,0.8876245
106.0,-158.66746548692532,132.0,-140.69946144703962,11961.0,0.8863705000000001
107.0,-79.37132668091712,178.0,-138.83746077190318,12139.0,0.8846795000000001
108.0,-88.19850261967451,100.0,-138.15978137849453,12239.0,0.8837295000000001
109.0,-117.29634267845363,149.0,-136.57521111826534,12388.0,0.882314
110.0,-127.73866469851995,101.0,-137.2290998977373,12489.0,0.8813545
111.0,-23.53942114308434,103.0,-136.06928064652985,12592.0,0.880376
112.0,-238.8897545071402,103.0,-136.7805469494933,12695.0,0.8793975
113.0,-31.830711529316304,91.0,-133.57983510939687,12786.0,0.878533
114.0,-78.85932260446798,99.0,-133.98108204903167,12885.0,0.8775925
115.0,-129.0596125328953,84.0,-134.03171379030402,12969.0,0.8767945
116.0,-117.28294509740863,128.0,-132.03610131304154,13097.0,0.8755785
117.0,-32.817581262372286,174.0,-130.2245872647274,13271.0,0.8739255
118.0,-106.6049868248708,108.0,-128.82380198730172,13379.0,0.8728995
119.0,-41.80204344074436,133.0,-128.37546224219653,13512.0,0.8716360000000001
