Episode,Reward,Steps,AvgReward,TotalSteps,Epsilon
1.0,-484.69674327678945,94.0,-484.69674327678945,94.0,0.999107
2.0,-110.04612189902977,98.0,-297.3714325879096,192.0,0.998176
3.0,-125.35841492226598,156.0,-240.03376003269508,348.0,0.996694
4.0,-36.108459295504815,126.0,-189.05243484839752,474.0,0.995497
5.0,-63.629972237143235,83.0,-163.96794232614667,557.0,0.9947085
6.0,-186.3296803923069,86.0,-167.69489867050672,643.0,0.9938915
7.0,-323.8110553804602,124.0,-189.99720677192863,767.0,0.9927135
8.0,-271.8056786308373,106.0,-200.2232657542922,873.0,0.9917065
9.0,-273.6249467509258,89.0,-208.3790080872515,962.0,0.990861
10.0,-347.63504321508503,139.0,-222.3046116000349,1101.0,0.9895405
11.0,-74.03558013645008,114.0,-208.82560873970897,1215.0,0.9884575
12.0,-349.4237266090777,186.0,-220.54211856215636,1401.0,0.9866905
13.0,-84.39443871595742,98.0,-210.06922011244873,1499.0,0.9857595
14.0,-58.11180570875909,73.0,-199.21511908361376,1572.0,0.985066
15.0,-355.94956996993176,99.0,-209.66408247603496,1671.0,0.9841255
16.0,-455.32832031260824,131.0,-225.01809734082076,1802.0,0.982881
17.0,-225.84789482850167,159.0,-225.06690895774315,1961.0,0.9813705
18.0,-173.92492157493626,154.0,-222.2256874364761,2115.0,0.9799075
19.0,-92.01242146941489,75.0,-215.37235764873603,2190.0,0.979195
20.0,-220.70109460773875,117.0,-215.63879449668616,2307.0,0.9780835
21.0,-86.1815596610717,66.0,-209.4741642664188,2373.0,0.9774565
22.0,-62.88376028163688,142.0,-202.8109640852923,2515.0,0.9761075
23.0,-312.1004686755834,100.0,-207.56268167617455,2615.0,0.9751575
24.0,-64.12897261094983,72.0,-201.58627713179024,2687.0,0.9744735
25.0,-69.15199956307293,93.0,-196.28890602904158,2780.0,0.97359
26.0,-7.7449965845147375,92.0,-189.03721720425207,2872.0,0.972716
27.0,-320.28971779712504,95.0,-193.89842092991404,2967.0,0.9718135
28.0,-109.90909895150125,66.0,-190.8988022878279,3033.0,0.9711865
29.0,-241.44612762275324,85.0,-192.64181350627356,3118.0,0.970379
30.0,-323.63871059344467,131.0,-197.0083767425126,3249.0,0.9691345
31.0,-474.12469457933037,129.0,-205.9476128017648,3378.0,0.967909
32.0,-212.56639277014128,102.0,-206.15444967577656,3480.0,0.96694
33.0,-60.80500357031412,70.0,-201.74992100591408,3550.0,0.966275
34.0,-104.46008949353849,142.0,-198.88845537319713,3692.0,0.964926
35.0,-64.86121319610342,77.0,-195.05910559670875,3769.0,0.9641945
36.0,-82.53732733465168,64.0,-191.93350064498495,3833.0,0.9635865
37.0,-471.04306833865166,116.0,-199.4770024745435,3949.0,0.9624845
38.0,-172.82850904291604,104.0,-198.77572633160594,4053.0,0.9614965
39.0,-60.64203762111209,104.0,-195.2338368774907,4157.0,0.9605085
40.0,-270.2886204128054,100.0,-197.11020646587355,4257.0,0.9595585
41.0,-26.07148412697154,83.0,-192.9385303112662,4340.0,0.95877
42.0,-219.78418632203548,89.0,-193.5777125972369,4429.0,0.9579245
