Episode,Reward,Steps,AvgReward,TotalSteps
1.0,-109.56068754442276,86,-109.56068754442276,86
2.0,-347.4623761401358,92,-228.51153184227928,178
3.0,-367.82123354703015,97,-274.9480990771962,275
4.0,-319.2112686503667,109,-286.01389147048883,384
5.0,-132.33562042518773,193,-255.2782372614286,577
6.0,-28.275329849829102,138,-217.44441935949536,715
7.0,-260.96542566849706,128,-223.66170597506704,843
8.0,-389.9811507478614,115,-244.45163657166637,958
9.0,-116.79430165878196,116,-230.2674882480125,1074
10.0,-219.74668288237663,79,-229.21540771144896,1153
11.0,-309.5111120153184,116,-236.5150171936189,1269
12.0,-261.1703789263539,120,-238.5696306713468,1389
13.0,-16.676738454397608,1000,-221.50094665465843,2389
14.0,-65.82131569137175,166,-210.3809730144237,2555
15.0,-64.6924739653,1000,-200.66840641114877,3555
16.0,35.08127346204725,1000,-185.934051419074,4555
17.0,78.37541865221601,128,-170.3864355325275,4683
18.0,147.46585623990407,963,-152.72797487850357,5646
19.0,-71.65618583371285,1000,-148.46103861298823,6646
20.0,-111.01947157531568,236,-146.5889602611046,6882
21.0,-69.82218317950893,250,-142.93339944769528,7132
22.0,22.59899522494883,1000,-135.40919968984784,8132
23.0,-138.08863120113563,576,-135.52569671207775,8708
24.0,-126.7132119672571,442,-135.1585098477102,9150
25.0,-223.4282874815201,999,-138.6893009530626,10149
26.0,-97.2174742590294,518,-137.09423069559978,10667
27.0,-83.7662909400394,1000,-135.1191218157642,11667
28.0,-51.82244996832274,1000,-132.1442406783556,12667
29.0,-59.43751455228081,1000,-129.63711219124957,13667
30.0,-255.7951562739175,802,-133.8423803273385,14469
31.0,-124.93271387925368,1000,-133.55497173223898,15469
32.0,-85.68070176296334,1000,-132.05890079569912,16469
33.0,-72.38428351420508,1000,-130.25057905989627,17469
34.0,-89.18114758146221,1000,-129.0426546046482,18469
35.0,-45.38301540502911,1000,-126.6523791989448,19469
36.0,-66.80672637971745,1000,-124.98999995396626,20469
37.0,-69.82894382305241,1000,-123.49916059907667,21469
38.0,-74.52558369373061,1000,-122.21038225946232,22469
39.0,-82.5276663717176,1000,-121.19287672387912,23469
40.0,-68.25387464801223,1000,-119.86940167198247,24469
41.0,-57.46090587506874,1000,-118.3472432379114,25469
42.0,-89.02812985775002,1000,-117.64916910981232,26469
43.0,-98.06716809714656,1000,-117.19377373742472,27469
44.0,-123.85442526054254,1000,-117.34515218113197,28469
45.0,-78.04755954109768,1000,-116.47187234468676,29469
46.0,-121.293952525492,1000,-116.57670017470429,30469
47.0,-102.0421362234614,1000,-116.26745413318848,31469
48.0,-67.2367688670095,1000,-115.24598152347642,32469
49.0,-87.16245886120001,1000,-114.67284840791976,33469
50.0,-112.24141436619036,1000,-114.62421972708516,34469
51.0,-51.93144926726456,1000,-113.39494971806909,35469
52.0,-70.92143103879884,1000,-112.57815128192928,36469
53.0,-85.37661524243154,1000,-112.06491475288212,37469
54.0,-87.3385359178669,1000,-111.60701884853,38469
55.0,-109.89689141785838,1000,-111.5759256225178,39469
56.0,-70.02892706847663,1000,-110.83401493405276,40469
57.0,-58.66026332474303,1000,-109.91868595845084,41469
58.0,-122.77333732898973,1000,-110.14031787863254,42469
59.0,-71.91321348462402,1000,-109.49240085500529,43469
60.0,-62.94212332625239,1000,-108.71656289619274,44469
61.0,-99.99501798000465,1000,-108.57358675002573,45469
62.0,-53.0886552762332,1000,-107.67866850044842,46469
63.0,-81.70884574561619,1000,-107.26644909164156,47469
64.0,-39.35556146182777,1000,-106.20534147242572,48469
65.0,-87.34138537257618,139,-105.91512676319726,48608
66.0,-60.1517602445528,1000,-105.22174242200568,49608
67.0,-96.9428704679646,247,-105.09817716896028,49855
68.0,-57.18488854323001,1000,-104.3935699832878,50855
69.0,-53.79973980169968,1000,-103.6603260676126,51855
70.0,-572.7593980989474,95,-110.36174138234595,51950
71.0,-45.47929589067801,1000,-109.44790412189994,52950
72.0,-634.6330986871409,113,-116.74214293530602,53063
73.0,-77.16569422394575,1000,-116.1999998022737,54063
74.0,-48.78497747853247,1000,-115.28898598708798,55063
75.0,-211.41435712844515,733,-116.57065760230608,55796
76.0,-54.56009666258528,1000,-115.75472916888872,56796
77.0,-164.13444724841057,68,-116.3830371958955,56864
78.0,-377.23923531243867,82,-119.72734742815886,56946
79.0,-802.4613210744818,100,-128.36954962621357,57046
80.0,-628.0774642328716,102,-134.61589855879683,57148
81.0,-62.944658383006505,1000,-133.7310684331698,58148
82.0,-65.61992634684933,1000,-132.90044474919029,59148
83.0,-279.36527283169016,791,-134.66508123211196,59939
84.0,-44.05089373821649,1000,-133.58634090480368,60939
85.0,-76.4213317163067,1000,-132.913811384939,61939
86.0,-17.866196239755457,1000,-131.57604841813455,62939
87.0,-40.63334747336701,325,-130.53073001647056,63264
88.0,-84.5704634601385,1000,-130.0084542601486,64264
89.0,-420.6671317521282,874,-133.27428209713716,65138
90.0,-336.5561037862053,909,-135.53296900479347,66047
91.0,-618.2835471817199,637,-140.83792041333112,66684
92.0,-92.21413094436758,114,-140.30940096258152,66798
93.0,-335.5629740066633,307,-142.40890174800174,67105
94.0,-93.6221639039376,465,-141.8898938985968,67570
95.0,-52.12054009822482,1000,-140.9449533322771,68570
96.0,-93.86943620350844,211,-140.45458336218576,68781
97.0,264.1439773295185,658,-136.28346417979705,69439
98.0,116.5062012810993,917,-133.70397779754302,70356
99.0,-60.6971644170899,252,-132.9665352381445,70608
100.0,-253.1862440598754,778,-134.1687323263618,71386
101.0,-173.5512148198958,248,-134.80863759911654,71634
102.0,-178.7081155524549,133,-133.12109499323975,71767
103.0,-46.0015258229432,153,-129.90289791599886,71920
104.0,-124.23193439579948,633,-127.9531045734532,72553
105.0,-29.652298359658264,1000,-126.92627135279788,73553
106.0,-12.056322020029564,1000,-126.76408127449989,74553
107.0,-15.003771258467976,1000,-124.30446473039956,75553
108.0,-14.196873612981513,1000,-120.5466219590508,76553
109.0,-51.6471724511113,1000,-119.89515066697408,77553
110.0,-136.94072996579368,955,-119.06709113780828,78508
111.0,-46.47638601583621,1000,-116.43674387781346,79508
112.0,135.76612975426795,961,-112.46737879100723,80469
113.0,90.2576761542948,1000,-111.3980346449203,81469
114.0,3.223791779461731,1000,-110.707583570212,82469
115.0,-68.34153804849458,737,-110.74407421104392,83206
116.0,-51.131805295356514,1000,-111.60620499861794,84206
117.0,-44.215176783746536,1000,-112.83211095297756,85206
118.0,-20.815277353573517,1000,-114.51492228891232,86206
119.0,-77.99164910528577,1000,-114.57827692162806,87206
120.0,-49.80132982463774,1000,-113.96609550412128,88206
121.0,-35.528023168328296,1000,-113.62315390400948,89206
122.0,-58.22589832460231,1000,-114.43140283950498,90206
123.0,-24.673008694493006,1000,-113.29724661443858,91206
124.0,250.9745822186581,747,-109.52036867257942,91953
125.0,-24.564309476368287,1000,-107.53172889252794,92953
126.0,-130.40382638330527,629,-107.86359241377068,93582
127.0,-616.7845002914421,487,-113.1937745072847,94069
128.0,172.01891899241264,849,-110.95536081767732,94918
129.0,181.326762167048,747,-108.54771805048404,95665
130.0,-22.665957928285952,1000,-106.21642606702773,96665
131.0,175.0664764062389,829,-103.2164341641728,97494
132.0,169.21491255488718,743,-100.66747802099432,98237
133.0,161.63831059125053,933,-98.32725207993975,99170
134.0,-17.85969907402312,1000,-97.61403759486537,100170
135.0,-20.28657981973819,1000,-97.36307323901242,101170
136.0,266.6578003290837,379,-94.02842797192444,101549
137.0,235.2900211523065,456,-90.97723832217083,102005
138.0,162.07433729610062,608,-88.61123911227254,102613
139.0,167.1860333896655,658,-86.1141021146587,103271
140.0,166.26797566611282,906,-83.76888361151745,104177
141.0,233.43260934919468,657,-80.85994845927482,104834
142.0,-39.49039970994812,1000,-80.3645711577968,105834
143.0,-365.2653934917338,400,-83.03655341174267,106234
144.0,-47.25166747951536,1000,-82.27052583393241,107234
145.0,243.4068822961362,628,-79.05598141556005,107862
146.0,256.00559450674973,458,-75.28298594523763,108320
147.0,241.41909472790016,344,-71.84837363572403,108664
148.0,246.1659467492196,385,-68.71434647956174,109049
149.0,302.8980349686588,298,-64.81374154126314,109347
150.0,-336.8415470079043,500,-67.05974286768028,109847
151.0,204.49821011651983,461,-64.49544627384243,110308
152.0,255.05572023340167,303,-61.23567476112044,110611
153.0,263.0569799468117,294,-57.751338809228,110905
154.0,233.47908282695684,430,-54.54316262177976,111335
155.0,262.2180476301971,277,-50.82201323129919,111612
156.0,250.5513395471773,351,-47.616210565142666,111963
157.0,292.50674543290467,282,-44.10454047756619,112245
158.0,258.94007463874215,293,-40.28740635788887,112538
159.0,244.7851929374316,341,-37.12042229366832,112879
160.0,208.67241712904752,352,-34.40427688911532,113231
161.0,239.14579078596404,410,-31.012868801455628,113641
162.0,233.7702866508169,302,-28.14427938218513,113943
163.0,287.5907645950688,276,-24.451283278778277,114219
164.0,268.4096896316067,300,-21.373630767843927,114519
165.0,299.4482983707066,267,-17.5057339304111,114786
166.0,272.8342385154891,296,-14.175873942810686,115082
167.0,193.45178895284283,634,-11.271927348602611,115716
168.0,192.88831202343235,330,-8.771195342935988,116046
169.0,258.2710574411343,327,-5.650487370507649,116373
170.0,212.1324508552063,351,2.1984311190338857,116724
171.0,244.42043977244612,471,5.097428475665129,117195
172.0,163.81984108016377,496,13.081957873338176,117691
173.0,242.4370787324968,450,16.277985602902604,118141
174.0,-31.93244000664758,285,16.44651097762145,118426
175.0,260.02404473795934,350,21.160894996285503,118776
176.0,204.8426597870822,425,23.754922560782173,119201
177.0,183.4119922721696,382,27.230386955987974,119583
178.0,227.68762218636488,349,33.27965553097601,119932
179.0,296.53322486166667,253,44.26960099033749,120185
180.0,218.8096594360416,470,52.73847222702662,120655
181.0,211.1253067248464,375,55.47917187810516,121030
182.0,265.02425182484114,350,58.78561365982205,121380
183.0,242.61445280396103,353,64.00541091617858,121733
184.0,255.46900024753975,404,67.00060985603614,122137
185.0,290.0156507423353,294,70.66497968062257,122431
186.0,278.6980788067963,280,73.63062243108807,122711
187.0,242.39312491964404,424,76.46088715501818,123135
188.0,239.9182927546914,327,79.70577471716649,123462
189.0,274.8554736722388,321,86.66100077141013,123783
190.0,279.553104808794,430,92.82209285736016,124213
191.0,232.8222477085409,492,101.33315080626276,124705
192.0,249.10243541430455,351,104.74631646984946,125056
193.0,253.8545753921109,336,110.6404919638372,125392
194.0,261.9351697687678,336,114.19606530056426,125728
195.0,265.85920632526904,309,117.3758627647992,126037
196.0,267.5073445317888,310,120.98963057215218,126347
197.0,250.83087272956536,366,120.85649952615265,126713
198.0,217.74419070773024,461,121.86887942041896,127174
199.0,217.8005848176196,355,124.65385691276606,127529
200.0,219.85187279915672,334,129.3842380813564,127863
201.0,216.1327511784413,297,133.28107774133974,128160
202.0,211.73517052685295,495,137.1855106021328,128655
203.0,255.13096506328188,344,140.19683551099507,128999
204.0,-1.1490815729025885,216,141.42766403922403,129215
205.0,244.3269173764003,279,144.1674561965846,129494
206.0,214.05977675629265,346,146.4286171843478,129840
207.0,260.2710673604321,594,149.18136557053683,130434
208.0,20.45606562909667,422,149.52789496295762,130856
209.0,248.41074592460927,204,152.52847414671484,131060
210.0,257.85222445706,353,156.47640369094336,131413
211.0,253.9467288990881,248,159.48063484009262,131661
212.0,257.0140929813403,341,160.69311447236333,132002
213.0,255.55849098187008,305,162.34612262063908,132307
214.0,287.758934171423,349,165.1914740445587,132656
215.0,-23.748356870783454,96,165.63740585633587,132752
216.0,218.6284102269026,349,168.3350080115584,133101
217.0,274.56180256860495,617,171.52277780508194,133718
218.0,-10.63440543440204,148,171.62458652427367,133866
219.0,256.08973105139864,534,174.9654003258405,134400
220.0,69.87948356909499,200,176.1622084597778,134600
221.0,237.38098566522424,499,178.89129854811333,135099
222.0,256.5942938941027,274,182.0395004703004,135373
223.0,-48.93010594003697,116,181.79692949784493,135489
224.0,18.010560524925054,198,179.46728928090764,135687
225.0,241.67281695071645,463,182.1296605451785,136150
226.0,251.05672549639945,282,185.94426606397556,136432
227.0,247.66092660939916,340,194.5887203329839,136772
228.0,237.45698865203343,541,195.24310102958012,137313
229.0,284.70201052679784,254,196.27685351317768,137567
230.0,-13.84896970041764,244,196.3650233954563,137811
231.0,271.8244985687312,295,197.33260361708125,138106
232.0,243.44920645191235,294,198.0749465560515,138400
233.0,228.74397000273527,271,198.74600315016636,138671
234.0,264.03298771661935,608,201.56493001807277,139279
